"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000086432.2",50323.1726590402,20.0639975045974,1.4632039991181,13.7123719704773,8.56125873585464e-43,6.91767541812754e-41
"ENSMUSG00000085834.2",11218.5657789829,18.1062019386032,1.54703970920151,11.7037732327818,1.21909593906923e-31,6.85255594156523e-30
"ENSMUSG00000102595.2",23449.2564360685,17.7247197673335,1.51566724384928,11.6943345178581,1.36251055931301e-31,7.60359309970578e-30
"ENSMUSG00000074373.7",5408.19357014646,17.0536708416205,1.46298715622825,11.6567467930387,2.11988062279699e-31,1.15802211204481e-29
"ENSMUSG00000086868.2",6241.12637993534,16.990457869682,1.45729599314565,11.6588928739227,2.06712691194603e-31,1.13721301106137e-29
"ENSMUSG00000111282.2",1812.57288698133,15.2879137424901,1.46307073929065,10.4491965644137,1.47771733336769e-25,6.55008763139039e-24
"ENSMUSG00000111403.2",8413.38869669601,15.1162659341286,1.04255192452182,14.49929310817,1.22403940582805e-47,1.2018827431656e-45
"ENSMUSG00000087334.2",1618.65736079523,14.8368037449636,1.45931010386157,10.1669985739858,2.78353907914962e-24,1.16085551811632e-22
"ENSMUSG00000028051.11",1530.75863620503,14.6313520387035,1.46893972600726,9.96048495364283,2.26952932535667e-23,9.16913488374568e-22
"ENSMUSG00000022514.15",1009.96181419971,13.5373664163329,1.46399830527648,9.24684568796437,2.31215227060312e-20,7.76422734331964e-19
